id	effectiveTime	active	moduleId	refsetId	referencedComponentId	domainId	grouped	attributeCardinality	attributeInGroupCardinality	ruleStrengthId	contentTypeId
81da6aa5-0cb1-463f-88ad-c25a795a211b	20170731	1	900000000000012004	723561005	363713009	404684003	1	0..*	0..1	723597001	723596005
81eded9f-9769-e314-ca69-3b7e9e49c148	20250201	1	900000000000012004	723561005	116688005	71388002	1	0..*	0..1	723597001	723596005
840861c7-8d9b-44a6-acfd-01f1b994b6d9	20170731	1	900000000000012004	723561005	405813007	71388002	1	0..*	0..1	723597001	723596005
8d066b27-118d-4a84-886a-14dabceba155	20220731	1	900000000000012004	723561005	363698007	404684003	1	0..*	0..1	723597001	723596005
935ca13a-f1a9-4b6a-8d03-db1d1f7c596b	20170731	1	900000000000012004	723561005	732943007	373873005	1	0..*	0..1	723597001	723596005
a1e92414-b651-4891-a749-d66ddd17cc00	20170731	1	900000000000012004	723561005	363704007	71388002	1	0..*	0..*	723597001	723596005
a54a5491-2986-42df-9c23-161823e88753	20170731	1	900000000000012004	723561005	424244007	71388002	1	0..*	0..1	723597001	723596005
a8c88cca-305c-40e8-bf03-2d6d03d47755	20170731	1	900000000000012004	723561005	272741003	723264001	0	0..1	0..0	723598006	723596005
a9613ab0-1e97-4fbc-9731-b3aa68854503	20170731	1	900000000000012004	723561005	118169006	123038009	1	0..*	0..1	723597001	723596005
aa11d39e-acf7-4e29-a8a3-053b2c3fb094	20170731	1	900000000000012004	723561005	371881003	272379006	1	0..*	0..1	723597001	723596005
aa4f5771-214a-47ed-a399-7cc85995b94c	20240501	1	900000000000012004	723561005	704321009	363787002	1	0..*	0..*	723597001	723596005
b46a7912-c065-4344-8d43-4df87105be44	20210731	1	900000000000012004	723561005	1142137007	373873005	1	0..*	0..1	723597001	723596005
bf232736-952c-478c-93b4-9d1646a650a7	20170731	1	900000000000012004	723561005	371881003	404684003	1	0..*	0..1	723597001	723596005
c74ad05b-198e-4502-bf25-7fa1136e475a	20210731	1	900000000000012004	723561005	1142138002	373873005	1	0..*	0..1	723597001	723596005
c941e910-e873-44c5-9dfe-fe798416f804	20170731	1	900000000000012004	723561005	424361007	71388002	1	0..*	0..1	723597001	723596005
cd63078d-5d84-45fd-94c0-098128f2e0ce	20180731	1	900000000000012004	723561005	763032000	373873005	0	0..1	0..0	723597001	723596005
ce71ef61-adb3-42fb-833e-ef774a6f74fa	20170731	1	900000000000012004	723561005	363703001	71388002	1	0..*	0..1	723597001	723596005
d0d53655-b6c4-4801-9f1f-c8723d8220ee	20170731	1	900000000000012004	723561005	246075003	404684003	1	0..*	0..1	723597001	723596005
d2b49199-0139-4b5f-a6b5-6f7fbb4468ac	20170731	1	900000000000012004	723561005	418775008	404684003	1	0..*	0..1	723597001	723596005
d64f229c-4721-4fba-b71c-12bf49e13013	20250601	1	900000000000012004	723561005	370132008	363787002	1	0..*	0..1	723597001	723596005
daaeb81e-e13e-471f-bfca-dc249537ebe0	20180131	1	900000000000012004	723561005	733725009	373873005	1	0..*	0..1	723597001	723596005
dfeb4481-9163-4043-9635-8427326fa522	20210731	1	900000000000012004	723561005	1142135004	373873005	1	0..*	0..1	723597001	723596005
e14b0f85-7823-405b-94f1-acd35d627469	20170731	1	900000000000012004	723561005	370133003	123038009	1	0..*	0..1	723597001	723596005
e162bc5e-18f5-4e7d-9504-db8c0a6cf323	20180131	1	900000000000012004	723561005	424226004	363787002	1	0..*	0..1	723597001	723596005
e78ab04a-d559-42b7-8de1-edb6cba4f594	20170731	1	900000000000012004	723561005	127489000	373873005	1	0..*	0..1	723597001	723596005
e8cee440-5eda-7717-505f-69d3727b855b	20231001	1	900000000000012004	723561005	246454002	71388002	1	0..*	0..1	723597001	723596005
e963dc10-d1f7-4748-b4c9-8e955dae52d6	20170731	1	900000000000012004	723561005	732947008	373873005	1	0..*	0..1	723597001	723596005
efbe234f-5cf4-4031-bb75-1301b1750e64	20240501	1	900000000000012004	723561005	246093002	386053000	1	0..*	0..*	723597001	723596005
f0123ad7-6835-455c-823e-9a56003ff0a7	20170731	1	900000000000012004	723561005	47429007	272379006	1	0..*	0..*	723597001	723596005
f19b3472-2c1e-44c1-9551-758eb38b3365	20170731	1	900000000000012004	723561005	47429007	404684003	1	0..*	0..*	723597001	723596005
f27821d1-923d-4361-bbf8-504fb5bfc87a	20170731	1	900000000000012004	723561005	408731000	243796009	1	0..*	0..1	723597001	723596005
f3320d04-a08a-4606-9215-b6bda89fc654	20210731	1	900000000000012004	723561005	1142139005	373873005	0	0..1	0..0	723597001	723596005
fe28d2d6-29c0-439a-9b24-b40339992aab	20180731	1	900000000000012004	723561005	762949000	373873005	1	0..*	0..1	723597001	723596005
0150390d-a2d0-4d72-b90d-ceaed74a767a	20170731	1	900000000000012004	723561005	363702006	71388002	1	0..*	0..1	723597001	723596005
016dbf3a-4665-4b44-908e-2040dc8ccf5d	20170731	1	900000000000012004	723561005	405815000	71388002	1	0..*	0..*	723597001	723596005
04a6c94d-879d-44ea-bc39-6207bc92b2b6	20220731	0	900000000000012004	723561005	363698007	404684003	1	0..*	0..1	723597001	723593002
0958083b-4a27-4feb-b32c-b203be33cc41	20170731	1	900000000000012004	723561005	246075003	272379006	1	0..*	0..1	723597001	723596005
0bcad72e-9153-4dce-9eb4-f71bfbd2bca8	20170731	1	900000000000012004	723561005	260507000	71388002	1	0..*	0..1	723597001	723596005
0c244bb2-35a7-4876-b118-c4ea472f0a82	20180131	1	900000000000012004	723561005	370130000	386053000	1	0..1	0..1	723597001	723596005
0cda4060-b26c-4d16-bf45-3a4f59444106	20170731	1	900000000000012004	723561005	363714003	404684003	1	0..*	0..1	723597001	723596005
0f0b39c7-12e0-46f7-8a17-8862935dbc92	20180731	1	900000000000012004	723561005	762951001	373873005	1	0..*	0..1	723597001	723595009
0f2a2383-2d6d-4501-9ba7-a7f371080ccd	20170731	1	900000000000012004	723561005	246454002	404684003	1	0..*	0..1	723597001	723596005
10463044-9762-48dd-b2f3-a9b66d18d5ec	20250501	1	900000000000012004	723561005	370130000	363787002	1	0..*	0..1	723597001	723596005
10977efb-fb62-4f3e-8d13-81a92ad22fd2	20180131	1	900000000000012004	723561005	704319004	363787002	1	0..*	0..1	723597001	723596005
10b2df11-0288-491f-b51a-0b9018c95082	20170731	1	900000000000012004	723561005	246090004	413350009	1	0..*	0..1	723597001	723596005
10e9c919-fb15-450e-a101-e488287b9555	20170731	1	900000000000012004	723561005	726633004	272379006	1	0..*	0..*	723597001	723596005
1301ad8f-8be1-469e-80a3-396bca848357	20170731	1	900000000000012004	723561005	363700003	71388002	1	0..*	0..1	723597001	723596005
1a311e16-c423-48e7-92f6-1ca6a0719601	20170731	1	900000000000012004	723561005	118171006	123038009	1	0..*	0..1	723597001	723596005
20ea3358-e436-4ac2-966e-d3a10f966142	20180731	1	900000000000012004	723561005	738774007	105590001	0	0..*	0..0	723597001	723596005
2237dbbb-5c14-4564-a159-7dee39162331	20170731	1	900000000000012004	723561005	408730004	129125009	1	0..*	0..1	723597001	723596005
2598cdb6-3391-4b54-8e92-41a5987dceda	20210731	1	900000000000012004	723561005	1142136003	373873005	1	0..*	0..1	723597001	723596005
27e71865-4354-427a-b1ba-38cdd45130d6	20240501	1	900000000000012004	723561005	246501002	363787002	1	0..*	0..*	723597001	723596005
29eca2fc-ba2d-42a0-9ee1-99d97dc933ff	20170731	1	900000000000012004	723561005	405814001	71388002	1	0..*	0..1	723597001	723596005
2fb9a232-9417-46ef-b545-523cd8454ad4	20170731	1	900000000000012004	723561005	263502005	404684003	1	0..*	0..1	723597001	723596005
351405be-c515-4997-a9cb-a55d83e66ecb	20220731	1	900000000000012004	723561005	116676008	404684003	1	0..*	0..1	723597001	723596005
37b05158-048c-4d3d-a945-35382367cb55	20170731	1	900000000000012004	723561005	246454002	272379006	1	0..*	0..1	723597001	723596005
38b2c23e-446d-4d6d-bd40-409d58c4743a	20170731	1	900000000000012004	723561005	405816004	71388002	1	0..*	0..*	723597001	723596005
